제품명,거래처그룹,품목등급,추천_DOI기준,판단,P코드수,이니셜수,수요라인수,최초납기,오더수량,생산부족수량,사출부족수량,완제품재고,공정재고합계,사출재고,분리재고,검사접착재고,누수규격검사재고,DOI기준오더,DOI_가중,DOI_중앙값,DOI_최대,DOI_양수_P코드수,부족대비공정재고율,재고대비월수요율,우선순위점수
Alcon D_Chic Smoke_W4(APAC),Alcon,C급 저회전/재고과다,0~30일,생산지양: 저수요 대비 완제품 과다,1,1,1,2026-08-24,50,248.0,248.0,1765.0,0.0,0.0,0.0,0,0,500.0,638.93,638.93,638.93,1,0.0,3.53,373.15
EYEQUE D_Snow wink_302_S3,EYEQUE,C급 저회전/재고과다,0~30일,생산지양: 저수요 대비 완제품 과다,6,1,6,2026-08-10,105,629.0,0.0,6895.0,0.0,0.0,0.0,0,0,1250.0,998.396,597.3,1469.7199999999998,5,0.0,5.516,315.75
PIA D_Spicy Queen_55% UV,PIA,C급 저회전/소량,0~30일,공정대체 확인: WIP가 부족보다 큼,1,1,1,2026-08-20,100,293.0,0.0,710.0,13718.0,13718.0,0.0,0,0,7200.0,17.84861111111111,17.84861111111111,17.84861111111111,1,46.81911262798635,0.09861111111111111,287.5
EYEQUE D_Gloss moon_301_S3,EYEQUE,C급 저회전/소량,0~30일,"생산확인: 완제품 DOI 없음, 부족 존재",1,1,1,2026-08-10,25,253.0,0.0,0.0,6405.0,0.0,6405.0,0,0,0.0,0.0,0.0,0.0,0,25.31620553359684,,260.5
Princess Chocolat_PIA_M_(중)_14.5,PIA,C급 저회전/소량,0~30일,유지/관찰,1,1,1,2026-08-20,100,130.0,130.0,107.0,0.0,0.0,0.0,0,0,1200.0,16.139166666666668,16.139166666666668,16.139166666666668,1,0.0,0.08916666666666667,258.65
EYEQUE D_LOVE YOURSELF_205_LOVE,EYEQUE,C급 저회전/소량,0~30일,생산조정: 소량품 재고 높음,3,1,3,2026-08-10,50,245.0,12.0,280.0,0.0,0.0,0.0,0,0,500.0,101.36000000000001,50.68000000000001,50.68000000000001,1,0.0,0.56,255.60000000000002
EYEQUE D_Sweet Choco_GIRL POWER,EYEQUE,C급 저회전/재고과다,0~30일,생산지양: 저수요 대비 완제품 과다,4,1,4,2026-08-10,235,1083.0,0.0,18095.0,0.0,0.0,0.0,0,0,2000.0,1637.5974999999999,397.5966666666667,414.49,2,0.0,9.0475,248.75
EYEQUE D_Foxy amber_303_S3,EYEQUE,C급 저회전/재고과다,0~30일,생산지양: 저수요 대비 완제품 과다,2,1,2,2026-08-10,65,475.0,0.0,5400.0,0.0,0.0,0.0,0,0,500.0,1954.8000000000002,486.89,486.89,1,0.0,10.8,224.5
Idol Ring_PIA_M_(중)_14.5,PIA,C급 저회전/소량,0~30일,유지/관찰,1,1,1,2026-08-20,100,106.0,106.0,126.0,0.0,0.0,0.0,0,0,600.0,38.01,38.01,38.01,1,0.0,0.21,214.5
Strawberry Quartz_PIA_M_(중)(Y),PIA,C급 저회전/소량,0~30일,공정대체 확인: WIP가 부족보다 큼,1,1,1,2026-08-20,100,183.0,0.0,23.0,1865.0,1145.0,0.0,720,0,1000.0,4.163,4.163,4.163,1,10.191256830601093,0.023,211.85
Alcon D_Chic Caramel_W4(APAC),Alcon,C급 저회전/소량,0~30일,공정대체 확인: WIP가 부족보다 큼,1,1,1,2026-08-24,50,313.0,0.0,2390.0,2887.0,0.0,2887.0,0,0,13100.0,33.02213740458015,33.02213740458015,33.02213740458015,1,9.223642172523961,0.18244274809160305,208.5
PIA D_Dollish Gray_55% UV,PIA,C급 저회전/소량,0~30일,유지/관찰,1,1,1,2026-08-20,300,142.0,142.0,2880.0,0.0,0.0,0.0,0,0,7200.0,72.4,72.4,72.4,1,0.0,0.4,201.60000000000002
PIA D_Air Gray_55% UV,PIA,C급 저회전/소량,0~30일,유지/관찰,1,1,1,2026-08-20,200,118.0,118.0,1910.0,0.0,0.0,0.0,0,0,5200.0,66.48269230769232,66.48269230769232,66.48269230769232,1,0.0,0.36730769230769234,176.89999999999998
PIA D_Almond Brown_38% UV,PIA,C급 저회전/재고과다,0~30일,생산지양: 저수요 대비 완제품 과다,1,1,1,2026-08-20,100,106.0,106.0,910.0,0.0,0.0,0.0,0,0,200.0,823.55,823.55,823.55,1,0.0,4.55,175.3
PIA_Sheer Brown_55%_1-DAY,PIA,C급 저회전/소량,0~30일,유지/관찰,1,1,1,2026-08-20,100,106.0,106.0,910.0,0.0,0.0,0.0,0,0,5200.0,31.674999999999997,31.675,31.675,1,0.0,0.175,175.3
Freedom380_M_BL Metha_(소),ESSILOR,C급 저회전/소량,0~30일,생산조정: 소량품 재고 높음,1,1,1,2026-10-01,60,98.0,98.0,407.0,0.0,0.0,0.0,0,0,600.0,122.77833333333334,122.77833333333334,122.77833333333334,1,0.0,0.6783333333333333,174.05
Dazzle Gray_2T_(PBT)PIA_M_(중)(Y),PIA,C급 저회전/소량,0~30일,공정대체 확인: WIP가 부족보다 큼,1,1,1,2026-08-20,100,154.0,0.0,251.0,2343.0,2343.0,0.0,0,0,1600.0,28.394374999999997,28.394375,28.394375,1,15.214285714285714,0.156875,171.45
Affogato_PIA_M_(중)(Y),PIA,C급 저회전/소량,0~30일,공정대체 확인: WIP가 부족보다 큼,1,1,1,2026-08-20,200,123.0,0.0,281.0,2893.0,1193.0,1700.0,0,0,1600.0,31.788125,31.788125,31.788125,1,23.520325203252032,0.175625,168.95
EYEQUE_AK Brown_GIRL POWER,EYEQUE,C급 저회전/소량,0~30일,공정대체 확인: WIP가 부족보다 큼,1,1,1,2026-08-10,25,172.0,0.0,215.0,9674.0,0.0,9674.0,0,0,500.0,77.83,77.83,77.83,1,56.24418604651163,0.43,168.75
Lady Black_PIA_M_(중)_14.5,PIA,C급 저회전/소량,0~30일,유지/관찰,1,1,1,2026-08-20,100,75.0,75.0,146.0,0.0,0.0,0.0,0,0,600.0,44.04333333333334,44.04333333333334,44.04333333333334,1,0.0,0.24333333333333335,157.7
Tangerine Tea_3T_(PBT)PIA_M_(중)(Y),PIA,C급 저회전/소량,0~30일,공정대체 확인: WIP가 부족보다 큼,1,1,1,2026-08-20,100,95.0,0.0,109.0,2653.0,2653.0,0.0,0,0,500.0,39.458,39.458,39.458,1,27.926315789473684,0.218,119.55
HAPA(PIA) D_One&Only Kristin Plus Brown 14.2_38%,PIA,C급 저회전/소량,0~30일,생산조정: 소량품 재고 높음,1,1,1,2026-08-20,100,71.0,71.0,940.0,0.0,0.0,0.0,0,0,1000.0,170.14,170.14,170.14,1,0.0,0.94,110.80000000000001
PIA D_Coco Truffle_38% UV,PIA,C급 저회전/소량,0~30일,유지/관찰,1,1,1,2026-08-20,100,59.0,59.0,950.0,0.0,0.0,0.0,0,0,4200.0,40.94047619047619,40.94047619047619,40.94047619047619,1,0.0,0.2261904761904762,88.69999999999999
PIA D_Melty Mist_55% UV,PIA,C급 저회전/소량,0~30일,유지/관찰,1,1,1,2026-08-20,500,95.0,95.0,4920.0,0.0,0.0,0.0,0,0,13200.0,67.46363636363637,67.46363636363637,67.46363636363637,1,0.0,0.37272727272727274,75.0
PIA_Opal CP-1.25 Toric_UV,PIA,C급 저회전/소량,0~30일,유지/관찰,1,1,1,2026-08-20,100,26.0,26.0,980.0,0.0,0.0,0.0,0,0,2200.0,80.62727272727273,80.62727272727273,80.62727272727273,1,0.0,0.44545454545454544,27.799999999999997
1-Day_Coastal_SoulBrown(신형리드지),Alcon,C급 저회전/소량,0~30일,유지/관찰,1,1,1,2026-08-10,1,31.0,0.0,150.0,0.0,0.0,0.0,0,0,810.0,33.51851851851852,33.51851851851852,33.51851851851852,1,0.0,0.18518518518518517,23.8
PIA D_Cream Beige_14.4,PIA,C급 저회전/재고과다,0~30일,생산지양: 저수요 대비 완제품 과다,1,1,1,2026-08-20,100,334.0,0.0,9315.0,641.0,641.0,0.0,0,0,4600.0,366.525,366.525,366.525,1,1.9191616766467066,2.025,-101.75
BELLA_HAZEL BEIGE(8년),OPTICAL SUPPLIES,C급 저회전/소량,0~30일,유지/관찰,1,1,1,2026-08-31,100,212.0,212.0,10790.0,0.0,0.0,0.0,0,0,99940.0,19.54162497498499,19.54162497498499,19.54162497498499,1,0.0,0.1079647788673204,-127.89999999999998
