class,item_group,거래처그룹,제품명,order,shortage,inj_short,pcodes,fg,doi_order,wip,doi_median,doi_max,doi_pos,doi_weighted,stock_cover_order_days
1-DAY,1-Day_Color_Sph,PIA,HAPA(PIA) D_One&Only Kristin Plus Brown 14.2_38%,100,71.0,71.0,1,940.0,1000.0,0.0,170.14,170.14,1.0,170.14,282.0
1-DAY,1-Day_Color_Sph,PIA,PIA D_Coco Truffle_38% UV,100,59.0,59.0,1,950.0,4200.0,0.0,40.94047619047619,40.94047619047619,1.0,40.94047619047619,285.0
1-DAY,1-Day_Color_Toric,PIA,PIA_Opal CP-1.25 Toric_UV,100,26.0,26.0,1,980.0,2200.0,0.0,80.62727272727273,80.62727272727273,1.0,80.62727272727273,294.0
1-DAY,1-Day_Color_Sph,EYEQUE,EYEQUE D_Crystal olive_304_S3,85,799.0,0.0,4,8420.0,0.0,21866.0,0.0,0.0,0.0,0.0,10689.176470588236
1-DAY,1-Day_Color_Sph,EYEQUE,EYEQUE D_LOVE IS YOU_201_LOVE,75,466.0,0.0,2,1225.0,750.0,4526.0,69.98666666666666,139.97333333333333,1.0,295.6333333333333,2300.4
1-DAY,1-Day_Color_Sph,OPTICAL SUPPLIES,BELLA D_Nerelle 55%,70,459.0,459.0,1,310.0,3000.0,0.0,18.703333333333333,18.703333333333333,1.0,18.703333333333333,132.85714285714286
1-DAY,1-Day_Color_Sph,EYEQUE,EYEQUE D_Foxy amber_303_S3,65,475.0,0.0,2,5400.0,500.0,0.0,243.445,486.89,1.0,1954.8000000000002,2492.3076923076924
1-DAY,1-Day_Color_Sph,ESSILOR,Freedom380_M_BL Metha_(소),60,98.0,98.0,1,407.0,600.0,0.0,122.77833333333334,122.77833333333334,1.0,122.77833333333334,203.5
1-DAY,1-Day_Color_Sph,Alcon,Alcon D_Chic Caramel_W4(APAC),50,313.0,0.0,1,2390.0,13100.0,2887.0,33.02213740458015,33.02213740458015,1.0,33.02213740458015,3166.2000000000003
1-DAY,1-Day_Color_Sph,Alcon,Alcon D_Chic Smoke_W4(APAC),50,248.0,248.0,1,1765.0,500.0,0.0,638.93,638.93,1.0,638.93,1059.0
1-DAY,1-Day_Color_Sph,EYEQUE,EYEQUE D_LOVE YOURSELF_205_LOVE,50,245.0,12.0,3,280.0,500.0,0.0,0.0,50.68000000000001,1.0,101.36000000000001,168.0
1-DAY,1-Day_Color_Sph,HEARTS/TopTrend,Astra Estelle Gray,40,424.0,424.0,1,40.0,753.0,0.0,9.614873837981408,9.614873837981408,1.0,9.614873837981408,30.0
1-DAY,1-Day_Color_Sph,EYEQUE,EYEQUE D_Gloss moon_301_S3,25,253.0,0.0,1,0.0,0.0,6405.0,0.0,0.0,0.0,0.0,7686.0
1-DAY,1-Day_Color_Sph,EYEQUE,EYEQUE_AK Brown_GIRL POWER,25,172.0,0.0,1,215.0,500.0,9674.0,77.83,77.83,1.0,77.83,11866.8
1-DAY,1-Day_Color_Sph,Alcon,1-Day_Coastal_SoulBrown(신형리드지),1,31.0,0.0,1,150.0,810.0,0.0,33.51851851851852,33.51851851851852,1.0,33.51851851851852,4500.0
