P5,row_count,qty_sum_dashboard,qty_max_single_row,qty_first_single_row,?????,????
P4516,1,885.0,885.0,885.0,BS0005,알루미늄리드지 (Monthly_무지)
P5261,2,860.0,860.0,860.0,BS0223,알루미늄리드지 (한국_젬아워(1D) 블랙 리드지)_유광
P1040,4,851.0,640.0,68.0,BS0317,알루미늄리드지 (PIA_1M 38% MOLAK 리드지)
P4546,6,780.0,404.0,404.0,BS0005,알루미늄리드지 (Monthly_무지)
P0229,1,726.0,726.0,726.0,BS0173,알루미늄리드지 (일본 sincere ITW 1day UV)_유광 코
P0548,1,720.0,720.0,720.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P7515,1,703.0,703.0,703.0,BS0318,알루미늄리드지 (PIA_1M 38% feliamo 리드지)
P7525,5,696.0,202.0,125.0,BS0317,알루미늄리드지 (PIA_1M 38% MOLAK 리드지)
P4020,9,661.0,459.0,0.0,BS0005,알루미늄리드지 (Monthly_무지)
P0236,2,657.0,563.0,563.0,BS0007,알루미늄리드지 (원데이-데일리)_유광 코팅
P1030,1,651.0,651.0,651.0,BS0059,알루미늄리드지 (Bella_1Day_컬러 리드지)_유광 코팅
P7009,1,638.0,638.0,638.0,BS0036,알루미늄리드지 (PIA 1Day)_유광 코팅
P7023,2,607.0,482.0,125.0,BS0036,알루미늄리드지 (PIA 1Day)_유광 코팅
P3181,2,597.0,550.0,47.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P0318,1,581.0,581.0,581.0,BS0334,알루미늄리드지 (Clalen O2O2 Color 1Month Micelia)
P5336,2,576.0,576.0,576.0,BS0201,알루미늄리드지 (하파크리스틴_1Day Color Toric)_유
P4849,1,570.0,570.0,570.0,BS0129,알루미늄리드지 (중국향 Clalen RINA 1-Day 리드지)_
P7019,1,565.0,565.0,565.0,BS0145,알루미늄리드지 (일본 PIA 1day 38% mimuco)_유광 코
P1060,1,544.0,544.0,544.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P3127,1,529.0,529.0,529.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P0547,1,518.0,518.0,518.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P0321,2,501.0,313.0,188.0,BS0334,알루미늄리드지 (Clalen O2O2 Color 1Month Micelia)
P5386,1,487.0,487.0,487.0,BS0214,알루미늄리드지 (Bella 리뉴얼 원데이 리드지(아랍))_
P7014,2,478.0,270.0,270.0,BS0036,알루미늄리드지 (PIA 1Day)_유광 코팅
P5418,12,470.0,133.0,49.0,BS0005,알루미늄리드지 (Monthly_무지)
P4781,4,458.0,310.0,125.0,BS0108,알루미늄리드지 (Clalen Astra Estelle_브라운)_유광
P1029,1,442.0,442.0,442.0,BS0059,알루미늄리드지 (Bella_1Day_컬러 리드지)_유광 코팅
P3057,1,441.0,441.0,441.0,BS0073,알루미늄리드지 (일본 PIA 1day 55%)_유광 코팅
P4101,4,437.0,161.0,69.0,BS0005,알루미늄리드지 (Monthly_무지)
P7511,1,415.0,415.0,415.0,BS0316,알루미늄리드지 (PIA_1M 38% LILMOON 리드지)
P4889,1,382.0,382.0,382.0,BS0205,알루미늄리드지 (PIA_1D 55% mimuco Toric리드지)_유
